student_number,first_name,last_name,course,course_title,teacher
2 ,Yang,Student 2,,Course 1,Teacher 1
3 ,Zhang,Student 1,,Course 1,Teacher 1
4 ,Li,Student 4,,Course 1,Teacher 1
5 ,Yu,Student 5,,Course 1,Teacher 1
6 ,Zong,Student 6,,Course 1,Teacher 1
7 ,Song,Student 7,,Course 1,Teacher 1
8 ,Chen,Student 8,,Course 1,Teacher 1
9 ,Yang,Student 9,,Course 1,Teacher 1
10 ,Zhang,Student 10,,Course 1,Teacher 1
11 ,Li,Student 11,,Course 1,Teacher 1
12 ,Yu,Student 12,,Course 1,Teacher 1
13 ,Zong,Student 13,,Course 1,Teacher 1
14 ,Song,Student 14,,Course 1,Teacher 1
15 ,Chen,Student 15,,Course 1,Teacher 1
16 ,Yang,Student 16,,Course 1,Teacher 1
17 ,Zhang,Student 17,,Course 1,Teacher 1
18 ,Li,Student 18,,Course 1,Teacher 1
19 ,Yang,Student 19,,Course 1,Teacher 1
20 ,Zhang,Student 20,,Course 1,Teacher 1
21 ,Li,Student 21,,Course 1,Teacher 1
22 ,Yu,Student 22,,Course 1,Teacher 1
23 ,Zong,Student 23,,Course 1,Teacher 1
24 ,Song,Student 24,,Course 1,Teacher 1
25 ,Chen,Student 25,,Course 1,Teacher 1
26 ,Yang,Student 26,,Course 1,Teacher 1
27 ,Zhang,Student 27,,Course 1,Teacher 1
28 ,Li,Student 28,,Course 1,Teacher 2
29 ,Yu,Student 29,,Course 1,Teacher 2
30 ,Zong,Student 30,,Course 1,Teacher 2
31 ,Song,Student 31,,Course 1,Teacher 2
32 ,Chen,Student 32,,Course 1,Teacher 2
33 ,Yang,Student 33,,Course 1,Teacher 2
34 ,Zhang,Student 34,,Course 1,Teacher 2
35 ,Li,Student 35,,Course 1,Teacher 2
36 ,Yang,Student 36,,Course 1,Teacher 2
37 ,Zhang,Student 37,,Course 1,Teacher 2
38 ,Li,Student 38,,Course 1,Teacher 2
39 ,Yu,Student 39,,Course 1,Teacher 2
40 ,Zong,Student 40,,Course 1,Teacher 2
41 ,Song,Student 41,,Course 1,Teacher 2
42 ,Chen,Student 42,,Course 1,Teacher 2
43 ,Yang,Student 43,,Course 1,Teacher 2
44 ,Zhang,Student 44,,Course 1,Teacher 2
45 ,Li,Student 45,,Course 1,Teacher 2
46 ,Yu,Student 46,,Course 1,Teacher 2
47 ,Zong,Student 47,,Course 1,Teacher 2
48 ,Song,Student 48,,Course 1,Teacher 2
49 ,Chen,Student 49,,Course 1,Teacher 2
50 ,Yang,Student 50,,Course 1,Teacher 2
51 ,Zhang,Student 51,,Course 1,Teacher 2
52 ,Li,Student 52,,Course 1,Teacher 2
53 ,Yang,Student 53,,Course 1,Teacher 2
54 ,Zhang,Student 54,,Course 1,Teacher 2
55 ,Li,Student 55,,Course 1,Teacher 2
56 ,Yu,Student 56,,Course 1,Teacher 2
57 ,Zong,Student 57,,Course 1,Teacher 2
58 ,Song,Student 58,,Course 1,Teacher 2
59 ,Chen,Student 59,,Course 1,Teacher 2
60 ,Yang,Student 60,,Course 1,Teacher 2
61 ,Zhang,Student 61,,Course 1,Teacher 2
62 ,Li,Student 62,,Course 1,Teacher 2
63 ,Yu,Student 63,,Course 1,Teacher 2
64 ,Zong,Student 64,,Course 1,Teacher 2
65 ,Song,Student 65,,Course 1,Teacher 2
66 ,Chen,Student 66,,Course 1,Teacher 2
67 ,Yang,Student 67,,Course 1,Teacher 2
68 ,Zhang,Student 68,,Course 1,Teacher 2
69 ,Li,Student 69,,Course 1,Teacher 2
70 ,Yang,Student 70,,Course 1,Teacher 2
71 ,Zhang,Student 71,,Course 1,Teacher 2
72 ,Li,Student 72,,Course 1,Teacher 3
73 ,Yu,Student 73,,Course 1,Teacher 3
74 ,Zong,Student 74,,Course 1,Teacher 3
75 ,Song,Student 75,,Course 1,Teacher 3
76 ,Chen,Student 76,,Course 1,Teacher 3
77 ,Yang,Student 77,,Course 1,Teacher 3
78 ,Zhang,Student 78,,Course 1,Teacher 3
79 ,Li,Student 79,,Course 1,Teacher 3
80 ,Yu,Student 80,,Course 1,Teacher 3
81 ,Zong,Student 81,,Course 1,Teacher 3
82 ,Song,Student 82,,Course 1,Teacher 3
83 ,Chen,Student 83,,Course 1,Teacher 3
84 ,Yang,Student 84,,Course 1,Teacher 3
85 ,Zhang,Student 85,,Course 1,Teacher 3
86 ,Li,Student 86,,Course 1,Teacher 3
87 ,Yang,Student 87,,Course 1,Teacher 3
88 ,Zhang,Student 88,,Course 1,Teacher 3
89 ,Li,Student 89,,Course 1,Teacher 3
90 ,Yu,Student 90,,Course 1,Teacher 3
91 ,Zong,Student 91,,Course 1,Teacher 3
92 ,Song,Student 92,,Course 1,Teacher 3
93 ,Chen,Student 93,,Course 1,Teacher 3
94 ,Yang,Student 94,,Course 1,Teacher 3
95 ,Zhang,Student 95,,Course 1,Teacher 3
